order_id,order_date,expected_delivery_date,actual_delivery_date,delivery_status,delivery_cost
1,2023-11-23,2024-01-18,2023-11-29,Pending,80.51
2,2024-03-25,2024-03-28,2024-03-25,In Transit,84.08
3,2024-02-07,2024-03-24,2024-03-02,Pending,45.56
4,2022-07-31,2023-02-25,2022-09-29,Cancelled,49.26
5,2023-09-12,2023-10-28,2023-10-09,Pending,98.11
6,2024-04-12,2024-05-16,2024-05-06,Cancelled,54.35
7,2023-02-21,2023-11-25,2023-11-12,Delivered,35.58
8,2023-03-26,2023-06-08,2023-05-14,Delivered,66.24
9,2023-10-16,2023-12-20,2023-12-19,Delivered,78.65
10,2022-09-06,2023-09-13,2023-08-24,In Transit,7.98
11,2024-02-05,2024-04-17,,In Transit,57.52
12,2024-04-11,2024-04-23,2024-04-11,Delivered,73.16
13,2023-01-15,2023-10-19,2023-08-30,Pending,29.81
14,2022-06-07,2022-07-19,2022-06-22,Cancelled,98.51
15,2023-11-08,2023-12-22,2023-11-08,Delivered,95.01
16,2022-05-09,2022-11-29,2022-07-24,Delivered,58.98
17,2022-07-23,2022-11-28,2022-08-07,Delivered,28.9
18,2024-03-16,2024-05-12,2024-04-30,Cancelled,97.07
19,2023-04-21,2023-05-07,2023-04-22,Delivered,28.23
20,2022-11-30,2024-01-26,2023-09-26,Pending,90.61
21,2022-12-19,2023-09-27,2023-01-25,Pending,13.62
22,2023-12-05,2023-12-22,2023-12-13,Pending,36.19
23,2023-06-13,2024-04-10,2024-04-04,Pending,99.77
24,2022-12-24,2023-07-28,,Delivered,33.78
25,2022-05-01,2024-03-05,2023-05-28,Cancelled,64.15
26,2023-09-16,2023-09-21,2023-09-20,Delivered,48.11
27,2023-11-24,2023-11-24,2023-11-24,Cancelled,20.45
28,2024-02-17,2024-05-12,2024-03-02,Delivered,23.41
29,2023-12-09,2024-05-13,2024-01-15,In Transit,74.1
30,2024-02-13,2024-03-05,2024-02-13,In Transit,83.45
31,2023-11-13,2024-05-19,2024-04-30,Cancelled,78.84
32,2024-04-11,2024-04-13,2024-04-11,Delivered,14.15
33,2022-06-05,2022-09-01,,Delivered,25.01
34,2023-12-01,2024-04-13,2023-12-10,Pending,51.58
35,2023-03-22,2023-09-27,2023-05-03,Cancelled,44.0
36,2024-04-18,2024-05-17,2024-05-08,Pending,68.58
37,2022-10-06,2023-03-17,,Cancelled,30.2
38,2023-04-30,2023-12-08,2023-05-22,Pending,55.69
39,2023-08-15,2023-12-04,2023-11-15,Delivered,86.59
40,2022-10-05,2023-08-27,2023-05-08,Cancelled,59.55
41,2022-08-06,2024-01-04,2023-10-10,In Transit,69.59
42,2023-05-16,2024-01-07,,Delivered,32.04
43,2023-01-02,2023-12-19,2023-09-19,In Transit,19.91
44,2024-02-16,2024-04-22,2024-04-21,Delivered,34.05
45,2022-07-23,2022-10-06,2022-09-03,Delivered,46.04
46,2023-12-18,2024-01-15,2024-01-02,Cancelled,15.03
47,2024-04-12,2024-04-24,2024-04-20,Cancelled,12.68
48,2023-04-09,2023-11-09,2023-10-15,Pending,91.35
49,2024-01-24,2024-05-14,2024-02-20,Pending,27.03
50,2023-06-08,2023-11-18,2023-10-29,Pending,72.53
51,2024-04-03,2024-04-17,2024-04-08,Pending,57.47
52,2023-06-04,2023-12-28,2023-10-15,Cancelled,9.42
53,2024-03-19,2024-04-04,,Pending,13.66
54,2023-05-30,2023-09-11,2023-07-06,Pending,37.45
55,2022-08-07,2023-03-01,2022-09-26,Cancelled,14.12
56,2022-04-24,2022-05-23,2022-05-20,Delivered,75.78
57,2023-10-09,2023-12-02,2023-11-02,Cancelled,15.84
58,2022-11-13,2023-10-19,2023-08-07,In Transit,61.82
59,2022-06-07,2022-07-12,,Delivered,19.94
60,2022-11-10,2023-03-22,2023-02-25,Pending,46.49
61,2023-01-04,2024-02-24,2023-06-19,In Transit,65.48
62,2023-01-14,2023-07-17,2023-03-03,In Transit,27.16
63,2022-12-23,2023-01-08,2022-12-26,Pending,57.87
64,2022-09-19,2023-05-23,2023-03-12,Cancelled,22.04
65,2022-11-17,2023-07-26,2023-03-04,Pending,26.76
66,2023-09-03,2023-12-30,2023-10-28,Pending,55.31
67,2023-10-19,2024-04-08,2023-12-24,Delivered,75.89
68,2023-05-29,2024-02-23,,Cancelled,35.23
69,2022-12-29,2023-04-03,2023-02-07,Pending,70.1
70,2023-04-18,2023-10-14,2023-10-05,Delivered,14.83
71,2022-11-07,2023-02-25,2023-02-10,Delivered,87.16
72,2022-11-01,2022-11-15,2022-11-14,Delivered,43.43
73,2024-03-30,2024-04-08,2024-03-31,Delivered,24.75
74,2022-08-08,2022-12-29,2022-11-22,Delivered,21.03
75,2024-02-05,2024-03-03,2024-02-24,Delivered,55.17
76,2023-09-03,2023-11-04,2023-10-17,Cancelled,69.89
77,2023-10-17,2023-12-18,2023-11-02,In Transit,12.84
