data_id,date,weather_condition,traffic_intensity,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,1996-07-11,Rainy,High,8.0,24.3,0.0,3.4,6.3,NW,30.0,SW,NW,6.0,20,68,29,1019.7,1015.0,7,7,14.4,23.6,No,3.6,Yes
2,2007-04-07,Stormy,Low,14.0,26.9,3.6,4.4,9.7,ENE,39.0,E,W,4.0,17,80,36,1012.4,1008.4,5,3,17.5,25.7,Yes,3.6,Yes
3,2014-04-16,Foggy,Moderate,13.7,23.4,3.6,5.8,3.3,NW,85.0,N,NNE,6.0,6,82,69,1009.5,1007.2,8,7,15.4,20.2,Yes,39.8,Yes
4,2015-05-01,Rainy,Moderate,13.3,15.5,39.8,7.2,9.1,NW,54.0,WNW,W,30.0,24,62,56,1005.5,1007.0,2,7,13.5,14.1,Yes,2.8,Yes
5,2007-11-16,Cloudy,Low,7.6,16.1,2.8,5.6,10.6,SSE,50.0,SSE,ESE,20.0,28,68,49,1018.3,1018.5,7,7,11.1,15.4,Yes,0.0,No
6,2012-06-08,Foggy,High,6.2,16.9,0.0,5.8,8.2,SE,44.0,SE,E,20.0,24,70,57,1023.8,1021.7,7,5,10.9,14.8,No,0.2,No
7,2001-09-30,Foggy,Low,6.1,18.2,0.2,4.2,8.4,SE,43.0,SE,ESE,19.0,26,63,47,1024.6,1022.2,4,6,12.4,17.3,No,0.0,No
8,1995-05-12,Cloudy,High,8.3,17.0,0.0,5.6,4.6,E,41.0,SE,E,11.0,24,65,57,1026.2,1024.2,6,7,12.1,15.5,No,0.0,No
9,2010-01-10,Stormy,Moderate,8.8,19.5,0.0,4.0,4.1,S,48.0,E,ENE,19.0,17,70,48,1026.1,1022.7,7,7,14.1,18.9,No,16.2,Yes
10,2004-01-27,Sunny,Low,8.4,22.8,16.2,5.4,7.7,E,31.0,S,ESE,7.0,6,82,32,1024.1,1020.7,7,1,13.3,21.7,Yes,0.0,No
11,1998-07-21,Foggy,Low,9.1,25.2,0.0,4.2,11.9,N,30.0,SE,NW,6.0,9,74,34,1024.4,1021.1,1,2,14.6,24.0,No,0.2,No
12,2003-11-01,Foggy,Low,8.5,27.3,0.2,7.2,12.5,E,41.0,E,NW,2.0,15,54,35,1023.8,1019.9,0,3,16.8,26.0,No,0.0,No
13,2004-05-13,Rainy,Low,10.1,27.9,0.0,7.2,13.0,WNW,30.0,S,NW,6.0,7,62,29,1022.0,1017.1,0,1,17.0,27.1,No,0.0,No
14,2006-02-13,Cloudy,High,12.1,30.9,0.0,6.2,12.4,NW,44.0,WNW,W,7.0,20,67,20,1017.3,1013.1,1,4,19.7,30.7,No,0.0,No
15,2022-08-18,Rainy,Moderate,10.1,31.2,0.0,8.8,13.1,NW,41.0,S,W,6.0,20,45,16,1018.2,1013.7,0,1,18.7,30.4,No,0.0,No
16,2017-10-22,Sunny,High,12.4,32.1,0.0,8.4,11.1,E,46.0,SE,WSW,7.0,9,70,22,1017.9,1012.8,0,3,19.1,30.7,No,0.0,No
17,2012-11-21,Cloudy,High,13.8,31.2,0.0,7.2,8.4,ESE,44.0,WSW,W,6.0,19,72,23,1014.4,1009.8,7,6,20.2,29.8,No,1.2,Yes
18,2022-12-15,Rainy,Very High,11.7,30.0,1.2,7.2,10.1,S,52.0,SW,NE,6.0,11,59,26,1016.4,1013.0,1,5,20.1,28.6,Yes,0.6,No
19,2002-01-31,Foggy,Very High,12.4,32.3,0.6,7.4,13.0,E,39.0,NNE,W,4.0,17,60,25,1017.1,1013.3,1,3,20.2,31.2,No,0.0,No
20,2001-12-08,Stormy,High,15.6,33.4,0.0,8.0,10.4,NE,33.0,NNW,NNW,2.0,13,61,27,1018.5,1013.7,0,1,22.8,32.0,No,0.0,No
21,2021-06-20,Foggy,Very High,15.3,33.4,0.0,8.8,9.5,WNW,59.0,N,NW,2.0,31,60,26,1012.4,1006.5,1,5,22.2,32.8,No,0.4,No
22,1997-04-24,Cloudy,High,16.4,19.4,0.4,9.2,0.0,E,26.0,ENE,E,6.0,11,88,72,1010.7,1008.9,8,8,16.5,18.3,No,25.8,Yes
23,2005-04-06,Foggy,Moderate,12.8,18.5,25.8,2.8,0.6,ESE,28.0,S,SE,13.0,13,91,79,1014.0,1014.9,8,8,14.0,16.8,Yes,0.4,No
24,1995-11-12,Foggy,Low,12.0,24.3,0.4,1.2,7.5,NNE,26.0,WSW,NE,6.0,9,74,57,1020.7,1019.2,7,5,17.8,22.8,No,0.0,No
25,2006-06-25,Foggy,Very High,15.4,28.4,0.0,4.4,8.1,ENE,33.0,SSE,NE,9.0,15,85,31,1022.4,1018.6,8,2,16.8,27.3,No,0.0,No
26,2011-01-30,Cloudy,Moderate,15.6,26.9,0.0,6.8,8.9,E,41.0,E,E,6.0,22,65,48,1019.7,1016.5,2,4,19.8,25.1,No,0.2,No
27,2000-04-24,Stormy,High,13.3,22.2,0.2,6.6,2.3,ENE,39.0,E,E,20.0,17,70,55,1021.0,1018.6,7,7,16.5,21.2,No,0.0,No
28,2004-01-08,Cloudy,Low,12.9,28.0,0.0,4.4,10.7,S,52.0,S,NNE,6.0,11,61,31,1019.2,1014.8,5,7,18.8,26.7,No,0.0,No
29,2017-11-18,Rainy,Low,15.1,24.3,0.0,7.0,0.4,SE,39.0,SE,SE,7.0,17,69,80,1019.0,1017.1,7,7,18.9,19.7,No,0.4,No
30,1999-01-23,Rainy,Low,13.6,24.1,0.4,2.6,0.5,NNW,30.0,SSW,S,6.0,6,83,49,1017.2,1013.3,8,7,17.3,23.2,No,22.6,Yes
31,2011-10-27,Foggy,Moderate,15.1,20.4,22.6,2.4,0.2,SSE,41.0,E,S,6.0,20,82,90,1015.0,1014.1,8,8,17.0,16.3,Yes,4.2,Yes
32,2016-08-28,Stormy,Very High,11.6,26.3,4.2,1.6,12.0,NNE,41.0,E,SW,6.0,9,66,46,1013.9,1009.5,2,2,16.7,25.2,Yes,0.2,No
33,2006-02-21,Stormy,Moderate,16.6,24.2,0.2,6.6,4.7,NW,50.0,WNW,NW,13.0,35,72,60,1007.9,1004.6,7,7,20.5,19.9,No,6.6,Yes
34,1999-10-16,Stormy,Low,13.3,26.5,6.6,3.8,11.8,NW,50.0,NW,WNW,20.0,26,74,40,1007.3,1006.3,5,2,18.8,25.1,Yes,0.0,No
35,2016-02-03,Stormy,Low,14.5,21.8,0.0,8.4,9.8,ENE,43.0,ESE,E,11.0,30,69,63,1015.0,1015.3,7,1,18.6,20.5,No,0.0,No
36,2010-04-23,Stormy,Low,16.3,26.8,0.0,6.0,6.3,ENE,39.0,ESE,ESE,13.0,9,78,54,1018.8,1016.1,8,7,18.6,24.5,No,0.0,No
