data_id,date,weather_condition,traffic_intensity,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,2019-01-25,Sunny,Moderate,8.0,24.3,0.0,3.4,6.3,NW,30.0,SW,NW,6.0,20,68,29,1019.7,1015.0,7,7,14.4,23.6,No,3.6,Yes
2,1994-08-17,Sunny,Low,14.0,26.9,3.6,4.4,9.7,ENE,39.0,E,W,4.0,17,80,36,1012.4,1008.4,5,3,17.5,25.7,Yes,3.6,Yes
3,2003-02-24,Cloudy,High,13.7,23.4,3.6,5.8,3.3,NW,85.0,N,NNE,6.0,6,82,69,1009.5,1007.2,8,7,15.4,20.2,Yes,39.8,Yes
4,2005-01-27,Rainy,High,13.3,15.5,39.8,7.2,9.1,NW,54.0,WNW,W,30.0,24,62,56,1005.5,1007.0,2,7,13.5,14.1,Yes,2.8,Yes
5,2020-02-25,Stormy,Very High,7.6,16.1,2.8,5.6,10.6,SSE,50.0,SSE,ESE,20.0,28,68,49,1018.3,1018.5,7,7,11.1,15.4,Yes,0.0,No
6,2003-11-09,Sunny,Moderate,6.2,16.9,0.0,5.8,8.2,SE,44.0,SE,E,20.0,24,70,57,1023.8,1021.7,7,5,10.9,14.8,No,0.2,No
7,1997-06-05,Sunny,Low,6.1,18.2,0.2,4.2,8.4,SE,43.0,SE,ESE,19.0,26,63,47,1024.6,1022.2,4,6,12.4,17.3,No,0.0,No
8,2012-11-09,Stormy,High,8.3,17.0,0.0,5.6,4.6,E,41.0,SE,E,11.0,24,65,57,1026.2,1024.2,6,7,12.1,15.5,No,0.0,No
9,2003-08-14,Rainy,High,8.8,19.5,0.0,4.0,4.1,S,48.0,E,ENE,19.0,17,70,48,1026.1,1022.7,7,7,14.1,18.9,No,16.2,Yes
10,2018-07-15,Sunny,Low,8.4,22.8,16.2,5.4,7.7,E,31.0,S,ESE,7.0,6,82,32,1024.1,1020.7,7,1,13.3,21.7,Yes,0.0,No
11,2015-09-16,Cloudy,Very High,9.1,25.2,0.0,4.2,11.9,N,30.0,SE,NW,6.0,9,74,34,1024.4,1021.1,1,2,14.6,24.0,No,0.2,No
12,2002-02-14,Cloudy,Low,8.5,27.3,0.2,7.2,12.5,E,41.0,E,NW,2.0,15,54,35,1023.8,1019.9,0,3,16.8,26.0,No,0.0,No
